"original_text","normalize_text","language","category","flag","last_update","remark"
"myk","minyak","Malay","VOC_EDITOR","1","2018-04-27 11:13:49",\N
" jugak","juga ","Malay","VOC_EDITOR","1","2018-04-27 11:24:21",\N
"ke","atau","Malay",\N,"0","2018-07-17 10:53:20","rusydi"
" ecrl"," east cost rail line ","English","VOC_EDITOR","1","2018-04-30 09:44:16",\N
" btn","bina negara","Malay","VOC_EDITOR","1","2018-04-30 10:26:17",\N
" cheif","chief","English","VOC_EDITOR","1","2018-04-30 14:28:07",\N
"sri2","sorry ","English","VOC_EDITOR","1","2018-04-30 14:30:21",\N
" typo","typing error","English","VOC_EDITOR","1","2018-04-30 14:30:21",\N
"tuh","itu","Malay","VOC_EDITOR","1","2018-04-30 15:01:21",\N
"b","billion ","Malay","MANUAL_TAG","0","2018-10-15 15:26:06","wrongly tagged"
" syg","sayang ","Malay","VOC_EDITOR","1","2018-04-30 15:04:19",\N
" krn","kerana","Malay","VOC_EDITOR","1","2018-04-30 15:08:31",\N
" gula","gula-gula ","Malay","VOC_EDITOR","1","2018-05-02 08:54:00",\N
" mnyesal","menyesal ","Malay","VOC_EDITOR","1","2018-05-02 08:54:00",\N
" ingt","ingat","Malay","VOC_EDITOR","1","2018-05-02 08:54:00",\N
" kerje","kerja ","Malay","VOC_EDITOR","1","2018-05-02 09:03:49",\N
" sekrg","sekarang ","Malay","VOC_EDITOR","1","2018-05-02 09:03:49",\N
" ade","ada ","Malay","VOC_EDITOR","1","2018-05-02 09:03:49",\N
" semat2","semata-mata  ","Malay","VOC_EDITOR","1","2018-05-02 09:03:49",\N
" suku","suka","Malay","VOC_EDITOR","1","2018-05-02 09:03:49",\N
" tsb","tersebut ","Malay","VOC_EDITOR","1","2018-05-02 09:13:56",\N
" dll "," dan lain-lain","Malay","VOC_EDITOR","1","2018-05-02 09:27:49",\N
" have2","have ","Malay","VOC_EDITOR","1","2018-05-02 09:32:45",\N
" sib","nasib ","Malay","VOC_EDITOR","1","2018-05-02 09:32:45",\N
" mereka2","mereka mereka ","Malay","VOC_EDITOR","1","2018-05-02 09:32:45",\N
"no","nombor ","Malay","MANUAL_TAG","0","2018-09-27 17:08:35","too common to normalize"
" lipon","telefon ","Malay","VOC_EDITOR","1","2018-05-02 09:32:45",\N
" klau","kalau ","Malay","VOC_EDITOR","1","2018-05-02 09:32:45",\N
" apa2","apa-apa ","Malay","VOC_EDITOR","1","2018-05-02 09:32:45",\N
" sapa2","siapa-siapa ","Malay","VOC_EDITOR","1","2018-05-02 09:42:46",\N
" kmk","kimak ","Malay","VOC_EDITOR","1","2018-05-02 09:42:46",\N
" ktk","kutuk ","Malay","VOC_EDITOR","1","2018-05-02 09:42:46",\N
" maok","mahu ","Malay","VOC_EDITOR","1","2018-05-02 09:42:46",\N
" sik","sekali ","Malay","VOC_EDITOR","1","2018-05-02 09:42:46",\N
" serapan","sarapan ","Malay","VOC_EDITOR","1","2018-05-02 09:42:46",\N
" n","dan ","Malay","VOC_EDITOR","1","2018-05-02 09:42:46",\N
"pog"," pejabat operasi gombak","Malay","VOC_EDITOR","1","2018-05-02 10:43:11",\N
"kneppe","kenapa ","Malay","VOC_EDITOR","1","2018-05-02 10:47:10",\N
" dpolitikn","dipolitikkan ","Malay","VOC_EDITOR","1","2018-05-02 10:47:10",\N
" bgitu","begitu ","Malay","VOC_EDITOR","1","2018-05-02 10:47:10",\N
" skli","sekali ","Malay","VOC_EDITOR","1","2018-05-02 10:47:10",\N
" pdhl","padahal ","Malay","VOC_EDITOR","1","2018-05-02 10:47:10",\N
" lbih","lebih ","Malay","VOC_EDITOR","1","2018-05-02 10:47:10",\N
" ngra","negara ","Malay","VOC_EDITOR","1","2018-05-02 10:47:10",\N
" tlah","telah ","Malay","VOC_EDITOR","1","2018-05-02 10:47:10",\N
" mlaksanakn","melaksanakan ","Malay","VOC_EDITOR","1","2018-05-02 10:47:10",\N
" dn","dan  ","Malay","VOC_EDITOR","1","2018-05-02 10:47:10",\N
" ustaz2","ustaz-ustaz ","Malay","VOC_EDITOR","1","2018-05-02 10:58:06",\N
" br","baru ","Malay","VOC_EDITOR","1","2018-05-03 09:23:12",\N
